company,job_count,avg_salary,remote_pct,top_role
PG&E Corporation Careers,100,239403.0,0.0,Other
GovCIO,51,142524.0,98.0,BI Analyst
Fisher Investments Careers,11,117015.0,0.0,Data Analyst
Emory,11,93728.0,0.0,Other
Insight Global,10,112457.0,20.0,BI Analyst
SynergisticIT,10,162427.0,0.0,Data Engineer
CVS Health,10,55593.0,0.0,Data Analyst
CommonSpirit Health,8,139526.0,0.0,Other
PAM Health,7,81714.0,0.0,Other
Orchid Orthopedic Solutions,7,37274.0,0.0,Other
Amazon,7,175345.0,0.0,Data Engineer
Apidel Technologies,7,111866.0,14.3,Data Analyst
Proud Moments ABA,6,72230.0,0.0,Other
Acosta Group,6,62113.0,0.0,BI Analyst
PNC Financial Services Group,6,123047.0,0.0,Other
KAISER,5,82512.0,20.0,Other
BrightSpring Health Services,5,54087.0,0.0,Other
U.S. Bank,5,102024.0,0.0,Data Analyst
Gentiva,5,110419.0,100.0,Data Engineer
Lockheed Martin,5,145073.0,0.0,Other
OhioHealth,5,60934.0,0.0,Other
Synergistic it,5,125071.0,0.0,Data Engineer
Community Choice Financial Family of Brands,5,46884.0,0.0,Other
Unum Group,5,100294.0,0.0,BI Analyst
The Hartford,4,168715.0,0.0,Data Engineer
Ibility,4,87635.0,0.0,BI Analyst
Guidehouse Careers,4,111667.0,0.0,Data Analyst
Chadwell Supply,4,67299.0,0.0,BI Analyst
Tailored Management,4,70069.0,100.0,Other
TEKsystems,4,79783.0,0.0,Data Engineer
